date,price,auction_or_buy_it_now
1/29/26,650,BIN
1/29/26,750,BIN
1/28/26,650,BIN
1/28/26,680,BIN
1/26/26,630,AUC
1/26/26,640,AUC
1/26/26,561,AUC
1/27/26,760,BIN
1/27/26,700,BIN
1/25/26,640,BIN
1/25/26,555,AUC
1/24/26,600,BIN
1/22/26,900,BIN
1/22/26,565,AUC
1/18/26,580,AUC
1/18/26,720,BIN
1/17/26,610,AUC
1/16/26,525,AUC
1/15/26,926,BIN
1/14/26,625,BIN
1/12/26,650,BIN
1/8/26,700,BIN
1/7/26,575,BIN
1/1/26,583,AUC
12/31/25,406,AUC
12/31/25,455,AUC
12/22/25,700,BIN
12/22/25,643,AUC
12/15/25,455,AUC
12/15/25,540,AUC
12/8/25,480,AUC
12/8/25,677,AUC
12/1/25,750,BIN
12/1/25,850,BIN
11/25/25,650,BIN
11/23/25,590,AUC
11/15/25,780,AUC
11/15/25,595,AUC
11/7/25,700,BIN
11/7/25,736,AUC
11/7/25,425,BIN
11/4/25,605,BIN
11/3/25,875,BIN
11/1/25,750,BIN
